County,State,None,D0,D1,D2,D3,D4
Long County,GA,69.40867924528301,30.59132075471698,11.427924528301887,0.0,0.0,0.0
Lonoke County,AR,53.48490566037736,46.51509433962264,30.70509433962264,7.8711320754716985,0.0,0.0
Lorain County,OH,87.81584905660377,12.184150943396226,3.917924528301887,0.0,0.0,0.0
Los Alamos County,NM,35.75301886792453,64.24698113207548,38.326037735849056,35.56867924528302,18.867924528301888,0.0
Los Angeles County,CA,78.17018867924529,21.829811320754718,16.456415094339622,5.495094339622642,0.47547169811320755,0.0
Loudon County,TN,67.14830188679245,32.85169811320755,21.109811320754716,15.016603773584906,9.307924528301887,2.9337735849056608
Loudoun County,VA,26.68169811320755,73.31830188679245,51.00264150943396,16.076415094339623,0.0,0.0
Louisa County,IA,22.43320754716981,77.56679245283019,60.492641509433966,43.7388679245283,6.473584905660378,0.0
Louisa County,VA,45.696226415094344,54.303773584905656,13.872641509433961,0.0,0.0,0.0
Loup County,NE,19.572075471698113,80.42792452830189,79.24528301886792,57.63566037735849,9.341698113207547,0.0
Love County,OK,39.32622641509434,60.67377358490566,51.76943396226415,34.84075471698113,5.6843396226415095,0.0
Loving County,TX,0.0,100.0,65.86792452830188,30.20566037735849,14.41943396226415,0.0
Lower Connecticut River Valley Planning Region,CT,76.53962264150944,23.460377358490568,1.3967924528301887,0.0,0.0,0.0
Lowndes County,AL,55.217547169811326,44.782452830188674,20.211698113207547,1.5366037735849056,0.0,0.0
Lowndes County,GA,72.1866037735849,27.813396226415094,13.079056603773585,3.1443396226415095,0.0,0.0
Lowndes County,MS,69.21716981132076,30.782830188679245,24.528301886792452,19.647547169811318,7.63433962264151,0.0
Lubbock County,TX,37.73245283018868,62.267547169811316,50.823018867924524,38.703962264150945,6.39188679245283,0.0
Lucas County,IA,30.91509433962264,69.08490566037736,57.2633962264151,44.126226415094344,15.422264150943397,0.0
Lucas County,OH,56.92547169811321,43.07452830188679,17.102830188679246,0.0,0.0,0.0
Luce County,MI,93.59905660377359,6.400943396226415,0.0,0.0,0.0,0.0
Lumpkin County,GA,74.48698113207547,25.51301886792453,20.684150943396226,13.495283018867925,6.277924528301887,0.0
Luna County,NM,25.511132075471696,74.4888679245283,41.62698113207547,36.76452830188679,27.58433962264151,10.7588679245283
Lunenburg County,VA,68.41641509433963,31.583584905660377,11.252452830188679,0.08037735849056603,0.0,0.0
Luquillo Municipio,PR,73.75962264150944,26.240377358490566,4.565849056603774,0.0,0.0,0.0
Luzerne County,PA,80.61452830188679,19.385471698113207,2.790943396226415,0.0,0.0,0.0
Lycoming County,PA,81.81811320754716,18.18188679245283,9.329245283018867,0.0,0.0,0.0
Lyman County,SD,34.33622641509434,65.66377358490566,13.326603773584905,1.7411320754716981,0.0,0.0
