County,GEOID,Latitude,Longitude,geometry,Gas Production Quantity,Oil Production Quantity,Wind Plant Capacity,Wildfire Hazard Potential Score,Drought Risk Score
,48389,31.12815124,-103.558001,POINT (-103.558001 31.12815124),0.4797428738133136,,,11.8,0.231201506929183
,48235,31.16614957,-101.2694066,POINT (-101.2694066 31.16614957),0.4312900204868241,,,51.7,0.00046
,48389,31.16858073,-103.5040194,POINT (-103.5040194 31.16858073),0.2532622925081165,,,11.8,0.231201506929183
,48371,31.17087415,-103.1058177,POINT (-103.1058177 31.17087415),0.6520229085784272,,,22.1,0.0591763405196241
,48389,31.17806859,-103.3279694,POINT (-103.3279694 31.17806859),0.4921686974343154,,,11.8,0.231201506929183
,48389,31.1781635,-103.5655671,POINT (-103.5655671 31.1781635),0.5104400978928615,,,11.8,0.231201506929183
,48389,31.18129654,-103.863999,POINT (-103.863999 31.18129654),0.7287027670705936,,,11.8,0.231201506929183
Reagan County,48383,31.1856,-101.371,POINT (-101.371 31.1856),,,0.6997373037376682,19.5,0.06603
McCulloch County,48307,31.2185,-99.4171,POINT (-99.4171 31.2185),,,0.6287563956881035,17.2,0.1
,48383,31.22898514,-101.3944171,POINT (-101.3944171 31.22898514),0.6150335532668058,,,19.5,0.06603
,48389,31.2321017,-103.213041,POINT (-103.213041 31.2321017),0.4325906284156434,,,11.8,0.231201506929183
,48389,31.23259596,-103.2032317,POINT (-103.2032317 31.23259596),0.4001421648240097,,,11.8,0.231201506929183
,48389,31.2565304,-103.4240505,POINT (-103.4240505 31.2565304),0.495003865325491,,,11.8,0.231201506929183
,48383,31.26733525,-101.3995258,POINT (-101.3995258 31.26733525),0.5781598058202976,,,19.5,0.06603
,48383,31.26796499,-101.4270239,POINT (-101.4270239 31.26796499),0.6282242064387377,,,19.5,0.06603
,48389,31.28708585,-103.4969502,POINT (-103.4969502 31.28708585),0.4687751241474499,,,11.8,0.231201506929183
,48389,31.31564976,-103.5909208,POINT (-103.5909208 31.31564976),0.5276004142827612,,,11.8,0.231201506929183
,48461,31.33135418,-101.9496046,POINT (-101.9496046 31.33135418),0.4701494855037087,,,11.9,0.11861101306036
,48389,31.33484763,-103.3895331,POINT (-103.3895331 31.33484763),0.4051549224173776,,,11.8,0.231201506929183
,48333,31.34742441,-98.61447568,POINT (-98.61447568 31.34742441),0.4257911861794516,,,25.4,0.185563883961778
Mills County,48333,31.3938,-98.3594,POINT (-98.3594 31.3938),,,0.6411434543368497,25.4,0.185563883961778
,48161,31.42846808,-96.22116018,POINT (-96.22116018 31.42846808),0.5005533491102612,,,30.1,0.160524572791098
,48475,31.4341013,-103.2395951,POINT (-103.2395951 31.4341013),0.2710421187009929,,,18.3,0.2
,48293,31.4341634,-96.28841514,POINT (-96.28841514 31.4341634),0.4986863519480018,,,23.6,0.089349464498215
,48389,31.50925314,-103.6955577,POINT (-103.6955577 31.50925314),0.6456494538866646,,,11.8,0.231201506929183
,48103,31.52330711,-102.6296257,POINT (-102.6296257 31.52330711),0.3657970454023966,,,15.9,0.189837510327733
,48383,31.52761614,-101.7420475,POINT (-101.7420475 31.52761614),0.6811983556570556,,,19.5,0.06603
,48103,31.53550963,-102.6973584,POINT (-102.6973584 31.53550963),0.3848815766544411,,,15.9,0.189837510327733
,48405,31.54651146,-94.27049456,POINT (-94.27049456 31.54651146),0.8648460283011975,,,34.5,0.331133649599215
Mills County,48333,31.5523,-98.537,POINT (-98.537 31.5523),,,0.6433831450052341,25.4,0.185563883961778
,48347,31.55406905,-94.39765411,POINT (-94.39765411 31.55406905),0.6435855922073891,,,34.7,0.205029251265916
,48461,31.55598671,-102.1906083,POINT (-102.1906083 31.55598671),0.4284650851568221,,,11.9,0.11861101306036
,48475,31.57057816,-103.5111034,POINT (-103.5111034 31.57057816),0.6687839524966384,,,18.3,0.2
,48461,31.57733229,-102.0643112,POINT (-102.0643112 31.57733229),0.3707762161398444,,,11.9,0.11861101306036
Mills County,48333,31.5794,-98.4958,POINT (-98.4958 31.5794),,,0.7008456436158912,25.4,0.185563883961778
,48347,31.57941589,-94.31524768,POINT (-94.31524768 31.57941589),0.5460044323593594,,,34.7,0.205029251265916
,48475,31.5902684,-103.3428739,POINT (-103.3428739 31.5902684),0.3755925816013571,,,18.3,0.2
,48383,31.59096259,-101.6440961,POINT (-101.6440961 31.59096259),0.4419943899888274,,,19.5,0.06603
,48389,31.59912411,-103.7033193,POINT (-103.7033193 31.59912411),0.4534869461854485,,,11.8,0.231201506929183
,22043,31.60132579,-92.62267917,POINT (-92.62267917 31.60132579),,0.0273225168629562,,35.1,0.496993572047474
,48475,31.63480645,-103.1943904,POINT (-103.1943904 31.63480645),0.3914872800540498,,,18.3,0.2
,48109,31.64200817,-104.0571823,POINT (-104.0571823 31.64200817),0.5152908133493285,,,13.3,0.303580985101252
,48389,31.64563004,-103.8034477,POINT (-103.8034477 31.64563004),0.6476991205449675,,,11.8,0.231201506929183
,48301,31.69193619,-103.4619754,POINT (-103.4619754 31.69193619),0.4288171446300561,,,12.4,0.200269757218503
Glasscock County,48173,31.695,-101.386,POINT (-101.386 31.695),,,0.6482947743639496,20.5,0.114350691543674
,48329,31.69659614,-101.886608,POINT (-101.886608 31.69659614),0.583857635782531,,,15.1,0.19828612114123
,48389,31.70915021,-103.7502069,POINT (-103.7502069 31.70915021),0.7690575496098272,,,11.8,0.231201506929183
,48389,31.71967088,-103.6943496,POINT (-103.6943496 31.71967088),0.4929917699403964,,,11.8,0.231201506929183
,48495,31.72784804,-102.9572526,POINT (-102.9572526 31.72784804),0.4112623436764452,,,19.5,0.2
,48389,31.73525208,-103.8582756,POINT (-103.8582756 31.73525208),0.5919853979866659,,,11.8,0.231201506929183
,48301,31.74681726,-103.7395418,POINT (-103.7395418 31.74681726),0.4481257493769046,,,12.4,0.200269757218503
,48329,31.75219435,-102.1164785,POINT (-102.1164785 31.75219435),0.4354435301853389,,,15.1,0.19828612114123
Glasscock County,48173,31.7538,-101.626,POINT (-101.626 31.7538),,,0.6412844929840049,20.5,0.114350691543674
Limestone County,48217,31.7747,-96.8282,POINT (-96.8282 31.7747),,,0.6997373037376682,24.6,0.00065
,48419,31.77899907,-94.18985112,POINT (-94.18985112 31.77899907),0.7415645553166433,,,31.2,0.263624856611685
,48301,31.77974523,-103.6698597,POINT (-103.6698597 31.77974523),0.7726876670175487,,,12.4,0.200269757218503
,48301,31.78356322,-103.3580776,POINT (-103.3580776 31.78356322),0.2726498444164258,,,12.4,0.200269757218503
,22085,31.79197197,-93.6019469,POINT (-93.6019469 31.79197197),0.2645975314900669,,,31.8,0.407318589112757
,48135,31.8118578,-102.3695291,POINT (-102.3695291 31.8118578),0.3483434394676501,,,12.3,0.2
,48329,31.81232496,-102.1469227,POINT (-102.1469227 31.81232496),0.4212043873267995,,,15.1,0.19828612114123
,48173,31.81681067,-101.7662747,POINT (-101.7662747 31.81681067),0.6774429160332779,,,20.5,0.114350691543674
,48301,31.81924704,-103.6026747,POINT (-103.6026747 31.81924704),0.6984436941307378,,,12.4,0.200269757218503
,22085,31.82385603,-93.5725128,POINT (-93.5725128 31.82385603),0.61325641962466,,,31.8,0.407318589112757
,22031,31.85712606,-93.76783184,POINT (-93.76783184 31.85712606),0.2323463910227708,,,23.1,0.205810247609708
,48329,31.85813954,-102.15386,POINT (-102.15386 31.85813954),0.6732611247476128,,,15.1,0.19828612114123
,48431,31.8627,-100.927,POINT (-100.927 31.8627),,,0.7258754294882306,51.6,0.05886
,48109,31.86330709,-104.1339926,POINT (-104.1339926 31.86330709),0.5382734136252544,,,13.3,0.303580985101252
,48301,31.86437567,-103.6694779,POINT (-103.6694779 31.86437567),0.5838591233733958,,,12.4,0.200269757218503
